State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate([rate note]) - deaths per 100,000",Lower CI (Rate),Upper CI (Rate),CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Death Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
United States,0,***,38.5,38.4,38.6,N/A , N/A , N/A,149208,falling,-5,-5.4,-4.5
"Union County, Florida",12125,***,147.9,122.8,176.9,N/A ,1,1,27,stable,-0.4,-1.7,0.9
"Galax City, Virginia",51640,***,120.8,91.3,158.1,N/A ,1,5,12,rising,18.9,1.1,39.8
"Carroll County, Kentucky",21041,***,108.1,83.9,137.6,N/A ,1,52,14,stable,1.3,-0.1,2.7
"Breathitt County, Kentucky",21025,***,101.3,80.8,125.8,N/A ,1,55,18,stable,-0.9,-2.5,0.8
"East Carroll Parish, Louisiana",22035,***,99.5,71.1,135.9,N/A ,1,21,8,stable,0.7,-1,2.4
"Whitley County, Kentucky",21235,***,99.3,86.4,113.7,N/A ,1,33,44,stable,-0.1,-1.1,0.9
"Owsley County, Kentucky",21189,***,98.7,67.9,140.9,N/A ,1,110,7,stable,1.1,-0.9,3
"Knox County, Kentucky",21121,***,97.6,84.4,112.4,N/A ,1,38,40,stable,0.3,-0.6,1.2
"Leslie County, Kentucky",21131,***,97,75.4,123.7,N/A ,1,79,14,stable,0.4,-0.9,1.7
"Menifee County, Kentucky",21165,***,95.4,69.2,129.8,N/A ,1,96,9,stable,1.1,-0.8,3
"Monroe County, Arkansas",5095,***,92.2,69.1,122.2,N/A ,1,45,11,stable,-0.5,-1.6,0.6
"Powell County, Kentucky",21197,***,90.7,70.2,115.6,N/A ,1,86,14,stable,0.5,-0.9,1.9
"Glascock County, Georgia",13125,***,88.9,52.1,144.4,N/A ,1,147,4,*,*,*,*
"Harlan County, Kentucky",21095,***,88.8,75.4,104.1,N/A ,1,61,33,stable,0.1,-0.9,1
"Perry County, Kentucky",21193,***,88.8,75.2,104.2,N/A ,1,61,32,stable,0,-1.2,1.3
"Carlisle County, Kentucky",21039,***,88.2,61,125.7,N/A ,1,115,7,stable,1.2,-0.9,3.2
"Gallatin County, Kentucky",21077,***,87.8,62.7,119.9,N/A ,1,113,9,stable,-1.1,-2.8,0.6
"Wolfe County, Kentucky",21237,***,86.5,62.9,117.2,N/A ,1,110,9,stable,0,-1.9,2
"Dunklin County, Missouri",29069,***,86.4,74,100.4,N/A ,1,20,36,stable,0.1,-0.9,1.1
"Bath County, Kentucky",21011,***,86.2,66.9,109.8,N/A ,1,90,14,stable,0.7,-0.7,2.2
"Pulaski County, Illinois",17153,***,85.4,59.8,120.2,N/A ,1,74,8,stable,0.6,-0.8,2.1
"Calhoun County, Arkansas",5013,***,85.2,59.3,121.1,N/A ,1,68,7,stable,-0.4,-2.1,1.3
"Donley County, Texas",48129,***,85.1,52.2,134.4,N/A ,1,161,5,stable,0.5,-1.4,2.4
"Nicholas County, Kentucky",21181,***,84.7,60.7,116,N/A ,1,113,8,stable,0.1,-1.3,1.7
"Lawrence County, Kentucky",21127,***,84.4,67.2,104.8,N/A ,1,94,18,stable,-0.3,-1.3,0.8
"Scott County, Tennessee",47151,***,84.2,69.6,101.1,N/A ,1,42,24,stable,-0.4,-1.3,0.5
"Montgomery County, Kentucky",21173,***,83.2,69.6,98.7,N/A ,1,77,28,stable,0.1,-1,1.3
"Martin County, Kentucky",21159,***,82.5,62.5,107.2,N/A ,1,106,12,stable,0.2,-1.3,1.8
"Trimble County, Kentucky",21223,***,82.2,59.5,111.3,N/A ,1,114,9,stable,0.6,-0.8,2.1
"Clay County, Arkansas",5021,***,82.1,66.5,100.9,N/A ,1,37,20,stable,-0.1,-1.1,1
"Hardin County, Illinois",17069,***,82,54.8,122.4,N/A ,1,83,6,stable,0,-2.2,2.2
"Butler County, Missouri",29023,***,81.9,71.9,93.1,N/A ,1,21,49,stable,-0.2,-1,0.7
"Benton County, Tennessee",47005,***,81.9,67.1,99.7,N/A ,1,50,22,stable,0.7,-0.5,2
"Perry County, Tennessee",47135,***,81.9,60.4,109.6,N/A ,1,82,10,stable,-0.4,-1.7,0.9
"Floyd County, Kentucky",21071,***,81.7,70.6,94.2,N/A ,3,71,41,falling,-2.9,-4.8,-1.1
