State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
US (SEER+NPCR)(1),0,***,58.3,58.2,58.4,N/A , N/A , N/A,221568,falling,-2,-2.2,-1.9
"Union County, Florida(6)",12125,***,196.3,168.2,228.1,N/A ,1,1,38,falling,-2.2,-4.1,-0.2
"Owsley County, Kentucky(7)",21189,***,164.7,122.8,218.2,N/A ,1,61,11,stable,2.1,-0.6,4.8
"Breathitt County, Kentucky(7)",21025,***,149.1,123.9,178.3,N/A ,1,36,26,stable,1.4,-1.9,4.9
"Hardin County, Illinois(6)",17069,***,133.6,96.4,183.8,N/A ,1,49,9,*,*,*,*
"Knox County, Kentucky(7)",21121,***,133.3,117.6,150.6,N/A ,1,34,54,stable,0.2,-1.1,1.5
"Powell County, Kentucky(7)",21197,***,132.5,107.4,162,N/A ,1,80,20,stable,0.5,-2.5,3.6
"Carroll County, Kentucky(7)",21041,***,131.7,105.1,163.3,N/A ,1,81,18,stable,0.2,-1.8,2.3
"Perry County, Kentucky(7)",21193,***,130.5,113.8,149.2,N/A ,1,46,46,stable,-1,-3.1,1.1
"Floyd County, Kentucky(7)",21071,***,130.3,116.2,145.7,N/A ,1,36,66,stable,-1.1,-2.3,0.3
"McCreary County, Kentucky(7)",21147,***,129.8,108.8,153.9,N/A ,1,66,28,stable,-1.3,-3.3,0.8
"North Slope Borough, Alaska(6)",2185,***,126.2,80.7,185,N/A ,1,6,6,stable,1.8,-2.9,6.8
"Clay County, Kentucky(7)",21051,***,125.7,106.3,147.9,N/A ,1,73,31,stable,0.9,-1.1,2.8
"Whitley County, Kentucky(7)",21235,***,123.8,109.3,139.7,N/A ,1,52,55,stable,0.2,-1.2,1.7
"Harlan County, Kentucky(7)",21095,***,123.6,107.9,141.1,N/A ,1,54,47,stable,0.2,-1.4,1.9
"Galax City, Virginia(6)",51640,***,122.3,91.6,160.9,N/A ,1,37,11,rising,17.9,8.3,28.3
"Lake County, Tennessee(6)",47095,***,121.4,91.3,159.1,N/A ,1,70,11,stable,1.4,-2.8,5.8
"Mingo County, West Virginia(6)",54059,***,120.6,103.9,139.4,N/A ,1,12,40,stable,-0.9,-2.9,1
"Leslie County, Kentucky(7)",21131,***,120.5,96.1,149.9,N/A ,1,103,17,stable,-0.2,-2.8,2.5
"Mercer County, Missouri(6)",29129,***,120.1,80,175.3,N/A ,1,108,6,stable,4.6,-0.7,10.1
"Bath County, Kentucky(7)",21011,***,119.7,96.7,146.9,N/A ,1,98,19,stable,1.4,-0.7,3.6
"Martin County, Kentucky(7)",21159,***,119.6,95.3,148.5,N/A ,1,102,18,stable,0,-2.2,2.2
"Poinsett County, Arkansas(6)",5111,***,118.2,101.9,136.6,N/A ,1,20,39,stable,0.7,-1.4,2.7
"Lewis County, Kentucky(7)",21135,***,116.5,95.4,141.3,N/A ,1,97,22,stable,0.5,-1.8,2.9
"Lawrence County, Arkansas(6)",5075,***,116.4,97.4,138.5,N/A ,1,27,28,stable,1.3,-0.7,3.4
"Mississippi County, Missouri(6)",29133,***,116.2,94.8,141.5,N/A ,1,37,21,stable,14.3,-6.8,40.2
"St. Francois County, Missouri(6)",29187,***,116.1,105.8,127.2,N/A ,1,13,95,stable,1.2,0,2.4
"Bracken County, Kentucky(7)",21023,***,116,89.1,149.2,N/A ,1,110,13,stable,-0.2,-3,2.6
"Pike County, Kentucky(7)",21195,***,115.6,105.2,126.9,N/A ,6,56,95,stable,0,-1,1.1
"Estill County, Kentucky(7)",21065,***,115.4,94.7,139.7,N/A ,1,101,23,stable,1.2,-0.6,3
"Monroe County, Kentucky(7)",21171,***,115.4,92,143.6,N/A ,1,107,17,stable,2.3,-1.2,5.9
"Madison County, Missouri(6)",29123,***,115.2,93.4,141.1,N/A ,1,45,20,stable,2.2,-0.5,5
"Claiborne County, Tennessee(6)",47025,***,115.1,101.3,130.4,N/A ,1,27,53,stable,-0.2,-1.8,1.6
"Trousdale County, Tennessee(6)",47169,***,114.4,86.5,148.9,N/A ,1,78,12,stable,1,-1.5,3.5
"Hart County, Kentucky(7)",21099,***,114.3,95.8,135.5,N/A ,2,93,28,stable,0.7,-1.1,2.4
"Clinton County, Kentucky(7)",21053,***,114,90.7,142.2,N/A ,1,107,17,stable,1.9,-1.1,5
"Edmonson County, Kentucky(7)",21061,***,113.3,91.6,139.3,N/A ,1,106,20,stable,-0.8,-3.2,1.7
"Wolfe County, Kentucky(7)",21237,***,113.3,86.1,147.5,N/A ,1,115,12,falling,-3.4,-5.9,-0.8
"Pulaski County, Illinois(6)",17153,***,112.1,83.2,149.7,N/A ,1,83,10,stable,4.1,-0.4,8.8
"Calhoun County, Arkansas(6)",5013,***,111.8,81,152.6,N/A ,1,69,9,stable,2.4,-1.3,6.2
"Boone County, West Virginia(6)",54005,***,111.8,95.8,130.1,N/A ,1,19,37,stable,-0.8,-2.7,1
"Barren County, Kentucky(7)",21009,***,111.7,99.7,124.8,N/A ,7,75,64,stable,0.9,0,1.9
"Rockcastle County, Kentucky(7)",21203,***,111.3,92.4,133.4,N/A ,2,99,25,stable,0.4,-0.9,1.6
"Montgomery County, Kentucky(7)",21173,***,111.2,95.5,128.8,N/A ,3,92,37,stable,0.5,-1.1,2.1
"Campbell County, Tennessee(6)",47013,***,110.5,98.8,123.4,N/A ,1,29,67,stable,-0.2,-2.1,1.7
"Polk County, Tennessee(6)",47139,***,110.1,91.9,131.3,N/A ,1,52,27,stable,1.8,-0.8,4.5
"Nicholas County, Kentucky(7)",21181,***,109.9,81.5,145.8,N/A ,1,117,10,stable,2,-1.8,6
"Lincoln County, Kentucky(7)",21137,***,109.7,94.2,127.2,N/A ,3,94,37,stable,-1.4,-3.1,0.3
"Wirt County, West Virginia(6)",54105,***,109.3,80.2,147.4,N/A ,1,47,10,stable,1.1,-3.9,6.4
"McLean County, Kentucky(7)",21149,***,109.2,85.1,138.8,N/A ,1,113,14,stable,-0.3,-2.7,2.1
"Carroll County, Tennessee(6)",47017,***,109,94.7,125.1,N/A ,1,38,44,stable,1.8,-1.1,4.8
"Cleveland County, Arkansas(6)",5025,***,109,84,140,N/A ,1,59,13,stable,2,-1.7,5.8
"Brown County, Illinois(6)",17009,***,108.9,77.3,149.8,N/A ,1,94,8,stable,1.3,-2.5,5.2
"Johnson County, Kentucky(7)",21115,***,108.8,92.7,127.2,N/A ,3,94,34,stable,-0.5,-2,0.9
"Harrison County, Kentucky(7)",21097,***,108.6,90.7,129.4,N/A ,3,100,27,stable,0.9,-1.1,3
"Letcher County, Kentucky(7)",21133,***,108.4,92.4,126.7,N/A ,3,94,34,stable,-1.4,-2.8,0.1
"Franklin County, Illinois(6)",17055,***,108.3,96.3,121.5,N/A ,1,22,62,stable,-0.2,-2,1.6
"Randolph County, Arkansas(6)",5121,***,108.1,90,129.1,N/A ,1,42,27,stable,1.3,-0.9,3.6
"Jackson County, Arkansas(6)",5067,***,108,89.7,129.1,N/A ,1,44,26,stable,-0.4,-2.9,2.3
"Union County, Tennessee(6)",47173,***,107.9,90,128.6,N/A ,1,61,27,stable,0,-2.5,2.6
"Clay County, West Virginia(6)",54015,***,107.8,83.1,138.3,N/A ,1,42,14,stable,1.8,-2.5,6.3
"Gallatin County, Kentucky(7)",21077,***,107.7,79.6,142.9,N/A ,1,118,11,stable,-0.9,-4.3,2.6
"Lawrence County, Kentucky(7)",21127,***,107.5,88.3,130,N/A ,3,106,23,stable,-0.5,-2.2,1.1
"Logan County, West Virginia(6)",54045,***,107.3,94.5,121.6,N/A ,1,18,54,stable,-0.6,-2.5,1.3
"Pendleton County, Kentucky(7)",21191,***,107.2,86.1,132.3,N/A ,2,112,19,stable,-0.5,-2.6,1.6
"Metcalfe County, Kentucky(7)",21169,***,107.1,83.9,135.5,N/A ,2,113,15,stable,-0.3,-2.5,2
"Clay County, Arkansas(6)",5021,***,107.1,89.2,128.1,N/A ,1,46,26,rising,2.4,0.3,4.6
"Logan County, Illinois(6)",17107,***,106.7,92.5,122.7,N/A ,1,32,42,rising,2.7,0.6,4.7
"Dunklin County, Missouri(6)",29069,***,106.4,92.7,121.8,N/A ,1,32,44,stable,1,-0.6,2.7
"Knott County, Kentucky(7)",21119,***,106.3,87.2,128.7,N/A ,3,109,23,stable,1.4,-2.5,5.5
"Arenac County, Michigan(6)",26011,***,106.1 #  ,88.7,126.8,N/A ,1,11,28,stable,1.4,-0.7,3.6
"Vinton County, Ohio(6)",39163,***,106.1,84.9,131.5,N/A ,1,39,18,stable,-0.5,-3.1,2.2
